Id,Pos
Id00qog2f11n_0,ADP
Id00qog2f11n_1,ADV
Id00qog2f11n_2,VERB
Id00qog2f11n_3,ADP
Id00qog2f11n_4,NOUN
Id00qog2f11n_5,PROPN
Id00qog2f11n_6,NOUN
Id00qog2f11n_7,NUM
Id00qog2f11n_8,ADP
Id00qog2f11n_9,PROPN
Id00qog2f11n_10,NOUN
Id00qog2f11n_11,NUM
Id00qog2f11n_12,PUNCT
Id00qog2f11n_13,SCONJ
Id00qog2f11n_14,ADV
Id00qog2f11n_15,PROPN
Id00qog2f11n_16,NOUN
Id00qog2f11n_17,NUM
Id00qog2f11n_18,ADV
Id00qog2f11n_19,ADV
Id00qog2f11n_20,ADP
Id00qog2f11n_21,NOUN
Id00qog2f11n_22,PUNCT
Id01lywjj7oz_0,VERB
Id01lywjj7oz_1,ADP
Id01lywjj7oz_2,NOUN
Id01lywjj7oz_3,ADJ
Id01lywjj7oz_4,ADV
Id01lywjj7oz_5,ADJ
Id01lywjj7oz_6,ADV
Id01lywjj7oz_7,NOUN
Id01lywjj7oz_8,NOUN
Id01lywjj7oz_9,NOUN
Id01lywjj7oz_10,AUX
Id01lywjj7oz_11,ADP
Id01lywjj7oz_12,NOUN
Id01lywjj7oz_13,AUX
Id01lywjj7oz_14,AUX
Id01lywjj7oz_15,ADV
Id01lywjj7oz_16,NOUN
Id01lywjj7oz_17,ADV
Id01lywjj7oz_18,ADJ
Id01lywjj7oz_19,ADP
Id01lywjj7oz_20,VERB
Id01lywjj7oz_21,ADJ
Id01lywjj7oz_22,NOUN
Id01lywjj7oz_23,ADJ
Id01lywjj7oz_24,VERB
Id01lywjj7oz_25,NOUN
Id01lywjj7oz_26,PUNCT
Id01mf3zolwh_0,PUNCT
Id01mf3zolwh_1,NOUN
Id01mf3zolwh_2,ADP
Id01mf3zolwh_3,NOUN
Id01mf3zolwh_4,ADP
Id01mf3zolwh_5,NOUN
Id01mf3zolwh_6,AUX
Id01mf3zolwh_7,ADP
Id01mf3zolwh_8,PRON
Id01mf3zolwh_9,ADJ
Id01mf3zolwh_10,ADJ
Id01mf3zolwh_11,PUNCT
Id01mf3zolwh_12,PRON
Id01mf3zolwh_13,VERB
Id01mf3zolwh_14,VERB
Id01mf3zolwh_15,ADV
Id01mf3zolwh_16,PRON
Id01mf3zolwh_17,AUX
Id01mf3zolwh_18,VERB
Id01mf3zolwh_19,PUNCT
Id01mf3zolwh_20,PUNCT
Id029419uzdp_0,ADV
Id029419uzdp_1,ADJ
Id029419uzdp_2,VERB
Id029419uzdp_3,PRON
Id029419uzdp_4,NOUN
Id029419uzdp_5,PROPN
Id029419uzdp_6,ADP
