Id,Pos
Id00qog2f11n_0,ADP
Id00qog2f11n_1,VERB
Id00qog2f11n_2,ADV
Id00qog2f11n_3,ADP
Id00qog2f11n_4,NOUN
Id00qog2f11n_5,PROPN
Id00qog2f11n_6,NUM
Id00qog2f11n_7,NUM
Id00qog2f11n_8,ADP
Id00qog2f11n_9,PROPN
Id00qog2f11n_10,NUM
Id00qog2f11n_11,NUM
Id00qog2f11n_12,PUNCT
Id00qog2f11n_13,ADV
Id00qog2f11n_14,NOUN
Id00qog2f11n_15,PROPN
Id00qog2f11n_16,NUM
Id00qog2f11n_17,NUM
Id00qog2f11n_18,ADJ
Id00qog2f11n_19,NUM
Id00qog2f11n_20,CCONJ
Id00qog2f11n_21,PRON
Id00qog2f11n_22,PUNCT
Id01lywjj7oz_0,VERB
Id01lywjj7oz_1,ADP
Id01lywjj7oz_2,VERB
Id01lywjj7oz_3,VERB
Id01lywjj7oz_4,ADV
Id01lywjj7oz_5,ADV
Id01lywjj7oz_6,ADJ
Id01lywjj7oz_7,ADJ
Id01lywjj7oz_8,NOUN
Id01lywjj7oz_9,ADJ
Id01lywjj7oz_10,AUX
Id01lywjj7oz_11,AUX
Id01lywjj7oz_12,NOUN
Id01lywjj7oz_13,ADP
Id01lywjj7oz_14,NOUN
Id01lywjj7oz_15,DET
Id01lywjj7oz_16,ADJ
Id01lywjj7oz_17,ADV
Id01lywjj7oz_18,ADV
Id01lywjj7oz_19,ADP
Id01lywjj7oz_20,AUX
Id01lywjj7oz_21,NOUN
Id01lywjj7oz_22,NOUN
Id01lywjj7oz_23,NOUN
Id01lywjj7oz_24,ADJ
Id01lywjj7oz_25,ADJ
Id01lywjj7oz_26,PUNCT
Id01mf3zolwh_0,X
Id01mf3zolwh_1,NOUN
Id01mf3zolwh_2,ADP
Id01mf3zolwh_3,NOUN
Id01mf3zolwh_4,ADP
Id01mf3zolwh_5,NOUN
Id01mf3zolwh_6,ADP
Id01mf3zolwh_7,ADP
Id01mf3zolwh_8,ADJ
Id01mf3zolwh_9,NUM
Id01mf3zolwh_10,NUM
Id01mf3zolwh_11,PUNCT
Id01mf3zolwh_12,ADJ
Id01mf3zolwh_13,NOUN
Id01mf3zolwh_14,VERB
Id01mf3zolwh_15,NOUN
Id01mf3zolwh_16,ADJ
Id01mf3zolwh_17,NOUN
Id01mf3zolwh_18,NOUN
Id01mf3zolwh_19,PUNCT
Id01mf3zolwh_20,X
Id029419uzdp_0,VERB
Id029419uzdp_1,ADJ
Id029419uzdp_2,VERB
Id029419uzdp_3,ADP
Id029419uzdp_4,ADP
Id029419uzdp_5,PROPN
Id029419uzdp_6,ADP
Id029419uzdp_7,NOUN
Id029419uzdp_8,ADP
Id029419uzdp_9,NOUN
Id029419uzdp_10,ADP
Id029419uzdp_11,PROPN
Id029419uzdp_12,VERB
Id029419uzdp_13,VERB
Id029419uzdp_14,NOUN
Id029419uzdp_15,VERB
Id029419uzdp_16,VERB
Id029419uzdp_17,PUNCT
Id029ouc4eo1_0,ADP
Id029ouc4eo1_1,NOUN
Id029ouc4eo1_2,PRON
Id029ouc4eo1_3,PRON
Id029ouc4eo1_4,ADV
Id029ouc4eo1_5,PUNCT
Id029ouc4eo1_6,AUX
